,vg_b,vg_e,vg_b_max,vg_b_avg,vg_e_max,vg_e_avg,params,locphy,locpro,locbl,loccom,program_length,total_operators,total_operands,vocab_count,unique_operators,unique_operands,v,b,d,e,l,maxnd,miwoc,micwc,mi
0,43.0,49.0,6.0,2.0,7.0,3.0,8.0,368.0,301.0,41.0,36.0,1386.0,808.0,578.0,80.0,31.0,49.0,8762.192,4.564,182.837,1602050.625,0.005,3.0,95.0,23.0,118.0
1,26.0,38.0,6.0,2.0,7.0,3.0,8.0,217.0,188.0,25.0,8.0,1012.0,595.0,417.0,66.0,24.0,42.0,6116.927,2.699,119.143,728788.125,0.008,3.0,93.0,15.0,107.0
2,2.0,2.0,1.0,1.0,1.0,1.0,2.0,59.0,37.0,13.0,9.0,123.0,72.0,51.0,45.0,22.0,23.0,675.498,0.216,24.391,16476.275,0.041,1.0,116.0,28.0,144.0
3,2.0,2.0,1.0,1.0,1.0,1.0,2.0,29.0,18.0,7.0,5.0,102.0,61.0,41.0,37.0,17.0,20.0,531.364,0.147,17.425,9259.021,0.057,1.0,128.0,30.0,158.0
